Source: onedrive_docs/RCM Transition Communications/HR FAQs/Q&A_ 6_5_26.xlsx

---

--- sheet: Sheet1 ---
Category	Question	Answer
403(b)	What happens to our 403(b) accounts?	Contributions stop at final paycheck; employer contributions continue through last full month; rollover/distribution options available.
403(b)	Will JHU continue contributing to 403(b)?	Only through last full month of employment.
403(b)	Will JHHS match the 403(b) after transition?	Yes, JHHS provides a match; employees move into JHHS plan with eligibility and vesting requirements; 4% + a 2% Match.
403(b)	Can money be removed or rolled over from the 403(b)?	Yes — rollover or distribution is allowed after termination.
403(b)	How to withdraw funds without penalty?	Penalty is applied as an IRS mandate, if withdrawal of funds prior to 59 1/2.
Application Process	Can you apply for multiple roles?	Yes.
Application Process	Will internal candidates be prioritized?	Yes — internal-first hiring approach.
Application Process	What is the application timeline?	June 12 and June 19 deadlines depending on role.
Application Process	Will there be interviews?	Yes for competitive roles; not for administrative transfer roles.
Application Process	How long until interview decisions are made?	Timing depends on the interview and selection process. Notifications will be provided as soon as evaluations are complete
Application Process	Will interviews be virtual or onsite?	Virtual
Application Process	How is fairness ensured in interviews?	Panel Interviews with leaders from multiple departments evaluating based on standardized criteria.
Application Process	Can you target specific departments when applying?	No, but you can share preferences during the interview process.
Application Process	Will job postings include pay/hours details?	Pay grades are reflected on job descriptions.
Application Process	Are job listings internal only?	Primarily internal; external only if roles unfilled.
Application Process	Are additional jobs expected to be posted?	Not at this time for the PBS team. However, postings continue across the system—employees are encouraged to check regularly for new opportunities.
Application Process	Why is there such a short turnaround time to apply for roles?
Benefits (Other)	Will benefits change after transition?	Yes — transition to JHHS plans.
Benefits (Other)	Will PTO accrual level carry over?	Yes — based on transferred service years.
Benefits (Other)	Are daycare vouchers still offered?	No, JHHS do not offer daycare vouchers. We do have a Day Care vendor. Bright Horizons
		Employees can enroll for their daycare services
Benefits (Other)	Does JHHS offer domestic partner benefits?	JHHS recognizes spouses
Benefits (Other)	Will float holidays still apply?	JHU Float holidays will be available July 1; and can be used with manager discretion/approval; but will expire and not be paid out as of any transfer to JHHS or term from JHU.  Per policy these are not paid out.
Communication	Who do I contact for HR questions?	HR Support Center or listed HR contacts.
Communication	How do I access materials if I didn’t receive email?	Contact Amy Mantegna; packets sent based on attendance.
Communication	Where can we find the PowerPoint?	The PowerPoint was emailed and is also available in the resource hub link provided.
Communication	Can slides be printed/shared?	Slides will be available in the resource hub for download.
Communication	Was the meeting recorded?	No — not recorded. Additional sessions will be provided.
Compensation	Will salary change?	Depends on role; administrative transfers will not reduce salary
Compensation	Could the same role be offered at lower pay?	Administrative transfers protected from pay reductions
Compensation	What is the pay range for roles?	Job Descriptions with corresponding pay grades are available in the resource hub.
Compensation	Will pay schedule or frequency change?	Pay is bi-weekly.
Employment Transition	When is the transition happening?	June 1 – August 23, 2026.
Employment Transition	What is the actual last day of employment?	August 23 transition date; RIF employees may extend into early September.
Employment Transition	What happens to my current position?	SOM role eliminated; transition via transfer or recruitment.
Employment Transition	What happens if I don’t get a job?	HR will guide next steps, including severance (if eligible).
Employment Transition	Will we be considered new employees?	No — service time carries over.
Employment Transition	What happens if I decline a role?	No severance if declining administrative transfer role.
Employment Transition	If I don’t move forward, who do I notify and what is my last day?	Notify your manager and HR representative. Your final working day will be confirmed based on your situation.
Employment Transition	When will you know outcome if you don’t apply?	Timing depends on the interview and selection process. Notifications will be provided as soon as evaluations are complete
Employment Transition	Will there be a probationary period?	Yes — 90 days.
Employment Transition	What happens if you fail probation?	Severance eligibility impacted (answer indicates “Yes” — loss of severance option if you accept the JHHS position).
Equipment	Will equipment be provided?	For transferred roles, equipment may be transitioned or reissued as needed. Further details will be shared during onboarding.
Health Benefits	What happens to medical, dental, and vision coverage?	Coverage continues through end of month; COBRA available at 102%.
Health Benefits	Will there be a gap in health insurance during transition?	No — coverage continues through the end of the month (e.g., 8/31).
Health Benefits	When does JHHS health insurance begin?	First day of the month after hire; 30 days to enroll.
Health Benefits	How does COBRA work?	Continuation at 102% of full group rate; packet sent with details.
Health Benefits	Is COBRA cost the same as current premiums?	COBRA information can be found on JHU Benefits page https://hr.jhu.edu/benefits-worklife/health-life/#cobra
Health Benefits	Is COBRA subsidized by JHU?	If they are in the group without placement and receive a final RIF notice, there is a portion of the severance package that that will include some funds paid to the employee intended to subsidize COBRA costs for a short term (employee is still responsible for electing COBRA and submitting the payments)
Health Benefits	Can COBRA extend beyond standard timeframe?	COBRA rate information can be found on the JHU Benefits page                                                   https://hr.jhu.edu/wp-content/uploads/sites/73/2026COBRARatesFacStaff.pdf
Health Benefits	What happens to FSA accounts?	Contributions stop; claims allowed up to 120 days; unused funds forfeited.
Health Benefits	What happens to HSA accounts?	Balance retained; contributions stop; fees may apply.
Health Benefits	What happens to life insurance and AD&D?	Coverage continues to month-end; may convert within 31 days.
Health Benefits	Can dental/vision be converted like life insurance?	Staff moving to JHHS will need to elect JHHS Benefits; these do not transfer
Payroll / Banking	Can payroll deductions (e.g., credit union) continue?	This is not expected to be an issue
Pension	What happens to pension?	Service credit stops; vested employees eligible for benefits at retirement age.
Pension	How does pension work if rehired or transitioning?	The pension plan is closed. All JHU rehired and transitioning employees will enter JHHS 403b match plan. However, immediate vesting will be granted for those with at least a year of service and 1,000 hours or more worked with JHU.
Policy / Other	What does RIF mean?	Reduction in Force:  means a position is being eliminated due to organizational changes, not individual performance.
PTO / Leave	What happens to vacation and PTO?	Staff hired or reinstated on or after July 1, 2013, receive pay for accrued unused vacation leave up to a maximum of 22 days. Staff hired or reinstated prior to July 1, 2013, receive pay for accrued unused vacation leave up to a maximum of 44 days. Any vacation leave that exceeds the staff member's vacation limit as determined by their most recent hire, rehire or reinstatement date, is forfeited at termination/retirement.
PTO / Leave	Does vacation transfer or get paid out when transitioning to JHHS?	Staff hired or reinstated on or after July 1, 2013, receive pay for accrued unused vacation leave up to a maximum of 22 days. Staff hired or reinstated prior to July 1, 2013, receive pay for accrued unused vacation leave up to a maximum of 44 days. Any vacation leave that exceeds the staff member's vacation limit as determined by their most recent hire, rehire or reinstatement date, is forfeited at termination/retirement.
PTO / Leave	What happens to sick leave? Is it paid out?	No payout unless qualified as a retiree; may be reinstated if rehired within 6 months.
PTO / Leave	Is PTO (22 days) vacation only or combined vacation and sick?	Combined vacation and sick time.
PTO / Leave	Does PTO reset at JHHS?	PTO is paid out, and new accrual is based on recognized years of service.
PTO / Leave	If retiring, is sick leave paid out and how much?	Staff who retire after completing 30 or more years of continuous full-time University service immediately prior to retirement or who retire at 55 years of age or older and have at least 10 years of continuous full-time University service immediately prior to retirement, will be paid out unused sick leave in excess of 45 days at the time of retirement. retiree eligible
Service Time	Will years of service transfer / carry over?	Yes — fully carried over for benefits, PTO, and eligibility.
